name
PL-05703 Forvia 567L Xtemp Hot Cycle_1
Title
Cobra 1.3.00
Author
DAQ3.powertech.local
Log Rate = 0.500000

Time	RH	Ttank	Tamb	Tfuel	Fout	Ptank	SOC
2025-11-10 15:05:48.2967	99.990682	63.450098	52.434229	-17.898097	2.679131	72.214149	91.492259
2025-11-10 15:05:48.7967	99.832995	63.450000	52.434500	-17.889508	2.679349	72.213539	91.491716
2025-11-10 15:05:49.2967	99.878822	63.499902	52.414855	-17.887200	2.677869	72.192162	91.462902
2025-11-10 15:05:49.7967	99.924633	63.450000	52.441509	-17.845030	2.673879	72.193044	91.473468
2025-11-10 15:05:50.2967	100.128278	63.450000	52.431609	-17.835442	2.682367	72.174074	91.456575
2025-11-10 15:05:50.7967	99.721371	63.450000	52.411270	-17.810373	2.690213	72.166920	91.450204
2025-11-10 15:05:51.2967	99.911596	63.400000	52.430948	-17.788325	2.684027	72.170023	91.462749
2025-11-10 15:05:51.7967	100.049317	63.400000	52.420097	-17.764048	2.680185	72.156342	91.450564
2025-11-10 15:05:52.2967	100.029485	63.400000	52.419728	-17.752445	2.679328	72.143866	91.439450
2025-11-10 15:05:52.7967	100.049568	63.400000	52.425342	-17.740677	2.685068	72.129287	91.426461
2025-11-10 15:05:53.2967	99.924987	63.350098	52.416189	-17.699901	2.685165	72.115471	91.423932
2025-11-10 15:05:53.7967	99.924883	63.350000	52.416578	-17.688173	2.679201	72.108639	91.417844
2025-11-10 15:05:54.2967	100.121145	63.350000	52.419802	-17.668652	2.683868	72.103215	91.413010
2025-11-10 15:05:54.7967	99.904970	63.350000	52.412205	-17.659659	2.676851	72.093433	91.404293
2025-11-10 15:05:55.2967	99.944605	63.300000	52.433085	-17.623950	2.674182	72.090060	91.411068
2025-11-10 15:05:55.7967	99.905132	63.300000	52.429558	-17.617512	2.678018	72.083042	91.404812
2025-11-10 15:05:56.2967	100.121410	63.300000	52.406752	-17.599574	2.674853	72.077634	91.399992
2025-11-10 15:05:56.7967	100.088695	63.300000	52.440622	-17.571628	2.674133	72.056257	91.380934
2025-11-10 15:05:57.2967	100.023250	63.250000	52.439431	-17.558727	2.678062	72.055867	91.390369
2025-11-10 15:05:57.7967	100.134889	63.250000	52.415166	-17.536219	2.680983	72.047205	91.382645
2025-11-10 15:05:58.2967	99.905059	63.249902	52.442416	-17.519699	2.684599	72.034948	91.371715
2025-11-10 15:05:58.7967	100.154236	63.250000	52.418830	-17.491148	2.683250	72.024726	91.362599
2025-11-10 15:05:59.2967	100.062590	63.250000	52.429942	-17.475780	2.686486	72.023065	91.361117
2025-11-10 15:05:59.7967	100.114895	63.200000	52.443518	-17.467078	2.688949	72.002333	91.352406
2025-11-10 15:06:00.2967	99.938076	63.200000	52.423870	-17.431718	2.688643	72.001587	91.351741
2025-11-10 15:06:00.7967	100.101732	63.199902	52.432396	-17.425105	2.682798	71.991924	91.343121
2025-11-10 15:06:01.2967	100.121462	63.199902	52.439935	-17.403357	2.677584	71.973107	91.326332
2025-11-10 15:06:01.7967	99.983968	63.150000	52.420342	-17.391727	2.674650	71.964411	91.328354
2025-11-10 15:06:02.2967	99.892073	63.150000	52.444422	-17.357852	2.676043	71.957850	91.322499
2025-11-10 15:06:02.7967	99.760822	63.149902	52.438796	-17.362108	2.672381	71.949408	91.314964
2025-11-10 15:06:03.2967	100.193834	63.149902	52.420589	-17.341115	2.674710	71.937118	91.303994
2025-11-10 15:06:03.7967	100.252896	63.149902	52.444907	-17.314228	2.672430	71.929710	91.297382
2025-11-10 15:06:04.2967	99.924692	63.100000	52.435798	-17.302487	2.672099	71.927879	91.305529
2025-11-10 15:06:04.7967	99.787206	63.100000	52.431706	-17.275679	2.673730	71.926455	91.304258
2025-11-10 15:06:05.2967	100.082003	63.050000	52.428548	-17.268819	2.674435	71.906638	91.296348
2025-11-10 15:06:05.7967	100.016573	63.050000	52.414452	-17.235817	2.676369	71.893856	91.284934
2025-11-10 15:06:06.2967	100.055936	63.050000	52.425560	-17.216459	2.684568	71.898671	91.289234
2025-11-10 15:06:06.7967	100.010264	63.050000	52.435924	-17.215734	2.685006	71.874955	91.268053
2025-11-10 15:06:07.2967	100.101961	63.050000	52.421513	-17.181348	2.679100	71.871818	91.265252
2025-11-10 15:06:07.7967	100.049391	63.000000	52.421545	-17.170049	2.681234	71.865750	91.269615
2025-11-10 15:06:08.2967	100.101835	63.000000	52.427407	-17.136995	2.677433	71.851544	91.256924
2025-11-10 15:06:08.7967	99.819892	63.000000	52.413625	-17.133917	2.671797	71.849052	91.254698
2025-11-10 15:06:09.2967	99.839672	63.000000	52.440106	-17.104043	2.674602	71.838931	91.245656
